30.05.2013, PID, Ramon Carrasco
...............................................................
Tc=0.06,Kp=0.1696,Ki=0.1246,Kd=0.5496,F=3,Kpi=0.5496,Automatico
univPI=20,univPD=600,stepPI=9.9996,stepPD=300
...............................................................
Tiempo                    U                  Y                   R                   E
19.07.36.937          36                 170                 500                 330
19.07.38.887          16                 385                 500                 115
19.07.40.242          9                 460                 500                 40
19.07.41.557          5                 495                 500                 5
19.07.42.557          4                 508                 500                 -8
19.07.43.687          4                 510                 500                 -10
19.07.44.687          4                 509                 500                 -9
19.07.45.717          4                 507                 500                 -7
19.07.46.697          4                 506                 500                 -6
19.07.47.737          4                 504                 500                 -4
19.07.48.759          4                 503                 500                 -3
19.07.49.767          4                 502                 500                 -2
19.07.50.787          5                 501                 500                 -1
19.07.51.818          4                 502                 500                 -2
19.07.52.796          4                 503                 500                 -3
19.07.53.779          4                 502                 500                 -2
19.07.54.777          5                 501                 500                 -1
19.07.55.787          4                 502                 500                 -2
19.07.56.797          4                 503                 500                 -3
19.07.57.823          4                 502                 500                 -2
19.07.58.827          4                 501                 500                 -1
19.07.59.857          5                 500                 500                 0
19.08.00.907          5                 500                 500                 0
19.08.02.037          4                 502                 500                 -2
19.08.03.127          4                 502                 500                 -2
19.08.04.127          4                 501                 500                 -1
19.08.05.147          5                 500                 500                 0
19.08.06.187          4                 501                 500                 -1
19.08.07.227          4                 502                 785                 -2
19.08.08.347          41                 501                 785                 284
19.08.09.531          32                 534                 785                 251
19.08.10.767          23                 634                 785                 151
19.08.11.927          15                 718                 785                 67
19.08.13.057          10                 768                 785                 17
19.08.14.127          8                 791                 785                 -6
19.08.15.207          7                 799                 785                 -14
19.08.16.278          6                 801                 785                 -16
19.08.17.487          7                 799                 785                 -14
19.08.18.867          7                 797                 785                 -12
19.08.20.095          7                 798                 785                 -13
19.08.21.167          6                 798                 785                 -13
19.08.22.207          6                 798                 785                 -13
19.08.23.287          7                 795                 785                 -10
19.08.24.317          7                 794                 785                 -9
19.08.25.387          7                 794                 785                 -9
19.08.26.497          7                 795                 785                 -10
19.08.27.547          6                 796                 785                 -11
19.08.28.647          7                 794                 785                 -9
19.08.29.717          7                 792                 785                 -7
19.08.30.767          7                 792                 785                 -7
19.08.31.937          7                 793                 785                 -8
19.08.33.037          6                 794                 785                 -9
19.08.34.147          6                 793                 785                 -8
19.08.35.277          7                 790                 785                 -5
19.08.36.337          7                 789                 785                 -4
19.08.38.017          7                 790                 785                 -5
19.08.39.347          7                 791                 785                 -6
19.08.41.266          6                 792                 785                 -7
19.08.42.457          6                 791                 785                 -6
19.08.43.817          7                 788                 785                 -3
19.08.45.157          7                 788                 785                 -3
19.08.46.988          7                 789                 785                 -4
19.08.48.557          7                 789                 785                 -4
19.08.50.207          6                 790                 785                 -5
19.08.51.773          7                 789                 785                 -4
19.08.53.356          7                 787                 785                 -2
19.08.54.427          7                 788                 785                 -3
19.08.55.637          6                 789                 785                 -4
19.08.57.230          6                 789                 785                 -4
19.08.58.617          7                 787                 785                 -2
19.09.00.107          7                 786                 785                 -1
19.09.02.249          7                 787                 785                 -2
19.09.03.941          7                 788                 785                 -3
19.09.05.199          6                 789                 785                 -4
19.09.06.307          7                 788                 785                 -3
19.09.07.447          7                 786                 785                 -1
19.09.08.705          7                 787                 785                 -2
19.09.09.937          6                 788                 785                 -3
19.09.11.037          6                 788                 785                 -3
19.09.12.190          7                 786                 785                 -1
19.09.13.347          7                 785                 785                 0
19.09.14.437          7                 786                 785                 -1
19.09.15.517          7                 787                 785                 -2
19.09.16.587          6                 788                 785                 -3
19.09.17.707          7                 787                 785                 -2
19.09.18.767          7                 785                 785                 0
19.09.19.841          7                 786                 785                 -1
19.09.20.887          6                 787                 785                 -2
19.09.21.967          6                 787                 785                 -2
19.09.23.007          7                 785                 785                 0
19.09.24.137          7                 785                 785                 0
19.09.25.293          7                 786                 785                 -1
19.09.26.637          6                 787                 785                 -2
19.09.28.157          6                 787                 785                 -2
19.09.30.057          7                 785                 785                 0
19.09.31.368          7                 784                 785                 1
19.09.32.743          7                 786                 785                 -1
19.09.34.547          6                 787                 785                 -2
19.09.37.257          6                 787                 785                 -2
19.09.39.717          7                 785                 785                 0
19.09.42.165          7                 784                 785                 1
19.09.44.047          7                 785                 785                 0
19.09.45.387          7                 786                 785                 -1
19.09.46.937          6                 787                 785                 -2
19.09.49.018          7                 786                 785                 -1
19.09.51.409          7                 784                 785                 1
19.09.53.718          7                 785                 785                 0
19.09.55.676          7                 786                 785                 -1
19.09.57.893          6                 787                 785                 -2
19.09.59.595          7                 786                 785                 -1
19.10.01.277          7                 784                 785                 1
19.10.02.901          7                 785                 785                 0
19.10.04.767          7                 786                 785                 -1
19.10.06.147          6                 787                 785                 -2
19.10.07.560          6                 787                 785                 -2
19.10.08.807          7                 785                 785                 0
19.10.09.997          7                 783                 785                 2
19.10.11.179          7                 784                 785                 1
19.10.12.437          7                 785                 785                 0
------------------------------------------------------------------
