30.05.2013, PID, Ramon Carrasco
...............................................................
Tc=0.01,Kp=500,Ki=150,Kd=5.4996,F=3,Automatico
...............................................................
Tiempo                    U                  Y                   R                   E
18.59.46.924          39                 409                 500                 91
18.59.47.874          11                 482                 500                 18
18.59.48.784          5                 496                 500                 4
18.59.49.604          5                 499                 500                 1
18.59.50.444          4                 500                 500                 0
18.59.51.294          5                 499                 500                 1
18.59.52.124          5                 499                 500                 1
18.59.52.974          5                 499                 500                 1
18.59.53.793          4                 500                 500                 0
18.59.54.667          4                 500                 500                 0
18.59.55.494          4                 500                 500                 0
18.59.56.344          4                 500                 500                 0
18.59.57.204          4                 500                 500                 0
18.59.58.060          4                 500                 500                 0
18.59.58.894          4                 500                 500                 0
18.59.59.734          5                 499                 500                 1
19.00.00.604          5                 499                 500                 1
19.00.01.474          5                 499                 500                 1
19.00.02.314          5                 499                 500                 1
19.00.03.144          4                 500                 500                 0
19.00.04.014          4                 500                 500                 0
19.00.04.834          4                 500                 500                 0
19.00.05.704          4                 500                 500                 0
19.00.06.584          4                 500                 500                 0
19.00.07.454          4                 500                 500                 0
19.00.08.326          5                 499                 500                 1
19.00.09.144          5                 499                 500                 1
19.00.10.014          5                 499                 500                 1
19.00.10.874          4                 500                 500                 0
19.00.11.744          4                 500                 500                 0
19.00.12.624          4                 500                 500                 0
19.00.13.464          4                 500                 500                 0
19.00.14.324          4                 500                 500                 0
19.00.15.174          4                 500                 500                 0
19.00.16.064          4                 500                 500                 0
19.00.16.944          5                 499                 500                 1
19.00.17.884          5                 499                 500                 1
19.00.18.764          5                 499                 500                 1
19.00.19.604          5                 499                 500                 1
19.00.20.494          4                 500                 500                 0
19.00.21.344          4                 500                 500                 0
19.00.22.194          4                 500                 500                 0
19.00.23.034          4                 500                 500                 0
19.00.23.934          4                 500                 500                 0
19.00.24.804          4                 500                 500                 0
19.00.25.664          5                 499                 500                 1
------------------------------------------------------------------
